School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM) unit(s)​,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),SchoolName_clean,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,Calendar Year,ACARA SML ID_profile,Location AGE ID_profile,School AGE ID_profile,School Name_profile,Suburb_profile,State_profile,Postcode_profile,School Sector_profile,School Type_profile,Campus Type_profile,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,47860,40411.0,411.0,47860,Aquinas College,ASHMORE,QLD,4214,Catholic,Secondary,0,School Single Entity,-27.975092,153.383562,0,Major Cities,30315810000,30909154027,309091540,Southport - North,30909,Southport,309,Gold Coast,33430,Gold Coast,30078,Southport,323,Moncrieff,2024,47860,40411.0,411.0,Aquinas College,Ashmore,QLD,4214,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.aquinas.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Major Cities,1059.0,72.0,11.0,31.0,37.0,21.0,68.0,64.8,37.0,31.2,809.0,394.0,415.0,809.0,2.0,8.0,92.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,47860,40411.0,411.0,47860,Aquinas College,ASHMORE,QLD,4214,Catholic,Secondary,0,School Single Entity,-27.975092,153.383562,0,Major Cities,30315810000,30909154027,309091540,Southport - North,30909,Southport,309,Gold Coast,33430,Gold Coast,30078,Southport,323,Moncrieff,2024,48916,55657.0,15657.0,Aquinas College,Salter Point,WA,6152,Catholic,Combined,School Single Entity,Individual Reporting,http://www.aquinas.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Major Cities,1108.0,86.0,7.0,17.0,30.0,47.0,138.0,118.2,85.0,60.8,1314.0,0.0,1314.0,1314.0,4.0,18.0,82.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,48916,55657.0,15657.0,48916,Aquinas College,SALTER POINT,WA,6152,Catholic,Combined,0,School Single Entity,-32.024,115.865,0,Major Cities,50266310000,50607114629,506071146,Manning - Waterford,50607,South Perth,506,Perth - South East,57840,South Perth,54905,South Perth (South Metropolitan),514,Swan,2024,45947,40747.0,747.0,Aquinas College,Ringwood,VIC,3134,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.aquinas.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1082.0,79.0,9.0,26.0,36.0,30.0,154.0,140.0,99.0,79.3,1671.0,807.0,864.0,1671.0,1.0,5.0,95.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,48916,55657.0,15657.0,48916,Aquinas College,SALTER POINT,WA,6152,Catholic,Combined,0,School Single Entity,-32.024,115.865,0,Major Cities,50266310000,50607114629,506071146,Manning - Waterford,50607,South Perth,506,Perth - South East,57840,South Perth,54905,South Perth (South Metropolitan),514,Swan,2024,47860,40411.0,411.0,Aquinas College,Ashmore,QLD,4214,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.aquinas.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Major Cities,1059.0,72.0,11.0,31.0,37.0,21.0,68.0,64.8,37.0,31.2,809.0,394.0,415.0,809.0,2.0,8.0,92.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,48916,55657.0,15657.0,48916,Aquinas College,SALTER POINT,WA,6152,Catholic,Combined,0,School Single Entity,-32.024,115.865,0,Major Cities,50266310000,50607114629,506071146,Manning - Waterford,50607,South Perth,506,Perth - South East,57840,South Perth,54905,South Perth (South Metropolitan),514,Swan,2024,48916,55657.0,15657.0,Aquinas College,Salter Point,WA,6152,Catholic,Combined,School Single Entity,Individual Reporting,http://www.aquinas.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Major Cities,1108.0,86.0,7.0,17.0,30.0,47.0,138.0,118.2,85.0,60.8,1314.0,0.0,1314.0,1314.0,4.0,18.0,82.0,0.0
Ararat Secondary College,,ARARAT,28,20,-,Y,,,,65,47,< 4,-,29.6,89,< 4,-,98,-,26,1.2,-,ARARAT SECONDARY COLLEGE,45523,50588.0,10588.0,45523,Ararat Secondary College,ARARAT,VIC,3377,Government,Secondary,0,School Head Campus,-37.28599961,142.92196149,1,Inner Regional,20004070000,21501138623,215011386,Ararat,21501,Grampians,215,North West,20260,Ararat,27308,Ripon (Western Victoria),238,Wannon,2024,45523,50588.0,10588.0,Ararat Secondary College,Ararat,VIC,3377,Government,Secondary,School Head Campus,Rolled Reporting,http://www.araratcc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,939.0,21.0,58.0,28.0,11.0,4.0,41.0,33.9,33.0,25.9,335.0,172.0,163.0,334.0,8.0,3.0,92.0,5.0
Armstrong Creek School,*,ARMSTRONG CREEK,1,1,-,,Y,,,6,6,-,-,-,-,-,-,-,-,-,-,7,ARMSTRONG CREEK SCHOOL,52589,85301.0,85300.0,52589,Armstrong Creek School,ARMSTRONG CREEK,VIC,3217,Government,Primary,0,School Head Campus,-38.231392,144.36414,0,Major Cities,21340750000,20303148910,203031489,Barwon Heads - Armstrong Creek,20303,Surf Coast - Bellarine Peninsula,203,Geelong,22750,Greater Geelong,27708,South Barwon (Western Victoria),209,Corangamite,2024,52589,85301.0,85300.0,Armstrong Creek School,Armstrong Creek,VIC,3217,Government,Combined,School Head Campus,Rolled Reporting,http://www.armstrongcreekschool.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,"U, Prep-6",Major Cities,1017.0,54.0,27.0,33.0,26.0,14.0,80.0,73.3,55.0,46.1,834.0,368.0,466.0,834.0,4.0,26.0,50.0,24.0
Ashwood High School,,ASHWOOD,47,22,2,Y,,,,165,44,6,< 4,72,99,18,6,79,I/D,31,8.1,-,ASHWOOD HIGH SCHOOL,45518,46191.0,6191.0,45518,Ashwood High School,ASHWOOD,VIC,3147,Government,Secondary,0,School Single Entity,-37.86409815,145.10340983,0,Major Cities,20442320000,21205131913,212051319,Ashwood - Chadstone,21205,Monash,212,Melbourne - South East,24970,Monash,20206,Ashwood (Southern Metropolitan),207,Chisholm,2024,45518,46191.0,6191.0,Ashwood High School,Ashwood,VIC,3147,Government,Secondary,School Single Entity,Individual Reporting,http://www.ashwood.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1092.0,82.0,11.0,19.0,32.0,38.0,72.0,69.5,32.0,24.8,913.0,369.0,544.0,912.5,1.0,44.0,55.0,2.0
Assumption College,,KILMORE,74,40,-,Y,Y,,,310,237,19,-,56.9,100,24,-,82,-,28,2.2,< 4,ASSUMPTION COLLEGE,45647,53936.0,13936.0,45647,Assumption College,KILMORE,VIC,3764,Catholic,Secondary,0,School Single Entity,-37.301013,144.947629,1,Inner Regional,20631929540,20401105630,204011056,Kilmore - Broadford,20401,Upper Goulburn Valley,204,Hume,24850,Mitchell,22704,Euroa (Northern Victoria),232,McEwen,2024,45647,53936.0,13936.0,Assumption College,Kilmore,VIC,3764,Catholic,Secondary,School Single Entity,Individual Reporting,https://www.assumption.vic.edu.au/,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Inner Regional,1051.0,69.0,16.0,34.0,33.0,18.0,126.0,115.7,68.0,56.6,1461.0,669.0,792.0,1461.0,1.0,4.0,96.0,0.0
Assumption College,,KILMORE,74,40,-,Y,Y,,,310,237,19,-,56.9,100,24,-,82,-,28,2.2,< 4,ASSUMPTION COLLEGE,45647,53936.0,13936.0,45647,Assumption College,KILMORE,VIC,3764,Catholic,Secondary,0,School Single Entity,-37.301013,144.947629,1,Inner Regional,20631929540,20401105630,204011056,Kilmore - Broadford,20401,Upper Goulburn Valley,204,Hume,24850,Mitchell,22704,Euroa (Northern Victoria),232,McEwen,2024,47894,57221.0,17221.0,Assumption College,Warwick,QLD,4370,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.acwarwick.catholic.edu.au/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1001.0,47.0,28.0,37.0,23.0,12.0,48.0,44.7,34.0,28.6,469.0,242.0,227.0,469.0,12.0,4.0,96.0,0.0
Assumption College,,KILMORE,74,40,-,Y,Y,,,310,237,19,-,56.9,100,24,-,82,-,28,2.2,< 4,ASSUMPTION COLLEGE,47894,57221.0,17221.0,47894,Assumption College,WARWICK,QLD,4370,Catholic,Secondary,0,School Single Entity,-28.225287,152.027794,1,Inner Regional,30556330000,30703118931,307031189,Warwick,30703,Granite Belt,307,Darling Downs - Maranoa,36660,Southern Downs,30077,Southern Downs,321,Maranoa,2024,45647,53936.0,13936.0,Assumption College,Kilmore,VIC,3764,Catholic,Secondary,School Single Entity,Individual Reporting,https://www.assumption.vic.edu.au/,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Inner Regional,1051.0,69.0,16.0,34.0,33.0,18.0,126.0,115.7,68.0,56.6,1461.0,669.0,792.0,1461.0,1.0,4.0,96.0,0.0
Assumption College,,KILMORE,74,40,-,Y,Y,,,310,237,19,-,56.9,100,24,-,82,-,28,2.2,< 4,ASSUMPTION COLLEGE,47894,57221.0,17221.0,47894,Assumption College,WARWICK,QLD,4370,Catholic,Secondary,0,School Single Entity,-28.225287,152.027794,1,Inner Regional,30556330000,30703118931,307031189,Warwick,30703,Granite Belt,307,Darling Downs - Maranoa,36660,Southern Downs,30077,Southern Downs,321,Maranoa,2024,47894,57221.0,17221.0,Assumption College,Warwick,QLD,4370,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.acwarwick.catholic.edu.au/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Inner Regional,1001.0,47.0,28.0,37.0,23.0,12.0,48.0,44.7,34.0,28.6,469.0,242.0,227.0,469.0,12.0,4.0,96.0,0.0
Auburn High School,,HAWTHORN EAST,29,8,-,,,Y,,177,12,-,-,85.9,99,-,11,94,-,31,8.6,-,AUBURN HIGH SCHOOL,50684,70188.0,30188.0,50684,Auburn High School,HAWTHORN EAST,VIC,3123,Government,Secondary,0,School Single Entity,-37.839849,145.044628,0,Major Cities,20070040000,20701115203,207011152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong,2024,50684,70188.0,30188.0,Auburn High School,Hawthorn East,VIC,3123,Government,Secondary,School Single Entity,Individual Reporting,http://www.auburnhs.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1146.0,95.0,3.0,11.0,27.0,59.0,77.0,68.2,24.0,15.8,820.0,288.0,532.0,820.0,0.0,54.0,45.0,1.0
Ave Maria College,,ABERFELDIE,40,15,-,Y,,,,173,71,< 4,-,97.7,100,10,4,98,-,31,10.5,-,AVE MARIA COLLEGE,45958,40749.0,749.0,45958,Ave Maria College,ABERFELDIE,VIC,3040,Catholic,Secondary,0,School Single Entity,-37.756618,144.897964,0,Major Cities,20445930000,20603150120,206031501,Essendon (West) - Aberfeldie,20603,Essendon,206,Melbourne - Inner,25060,Moonee Valley,26107,Niddrie (Western Metropolitan),231,Maribyrnong,2024,45958,40749.0,749.0,Ave Maria College,Aberfeldie,VIC,3040,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.avemaria.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1076.0,77.0,8.0,28.0,38.0,26.0,69.0,65.2,41.0,33.1,807.0,807.0,0.0,807.0,0.0,6.0,94.0,0.0
Avila College,,MOUNT WAVERLEY,51,28,2,Y,Y,,,257,84,-,< 4,92.4,99,10,20,94,I/D,32,11.5,< 4,AVILA COLLEGE,45976,40750.0,750.0,45976,Avila College,MOUNT WAVERLEY,VIC,3149,Catholic,Secondary,0,School Single Entity,-37.874671,145.133255,0,Major Cities,20439040000,21205132314,212051323,Mount Waverley - North,21205,Monash,212,Melbourne - South East,24970,Monash,20206,Ashwood (Southern Metropolitan),207,Chisholm,2024,45976,40750.0,750.0,Avila College,Mount Waverley,VIC,3149,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.avilacollege.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1107.0,86.0,6.0,19.0,34.0,40.0,104.0,91.0,54.0,38.1,1046.0,1046.0,0.0,1046.0,0.0,13.0,87.0,0.0
Bacchus Marsh College,,BACCHUS MARSH,46,35,-,Y,,,,175,142,< 4,-,57.4,97,28,-,71,-,24,0.3,-,BACCHUS MARSH COLLEGE,45525,50083.0,10083.0,45525,Bacchus Marsh College,BACCHUS MARSH,VIC,3340,Government,Secondary,0,School Single Entity,-37.68562875,144.43305835,0,Major Cities,20457840000,21304135301,213041353,Bacchus Marsh,21304,Melton - Bacchus Marsh,213,Melbourne - West,25150,Moorabool,22608,Eureka (Western Victoria),219,Hawke,2024,45525,50083.0,10083.0,Bacchus Marsh College,Bacchus Marsh,VIC,3340,Government,Secondary,School Single Entity,Individual Reporting,http://www.bmsc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,970.0,33.0,48.0,32.0,14.0,6.0,86.0,76.4,58.0,37.4,998.0,468.0,530.0,994.9,6.0,11.0,89.0,0.0
Baimbridge College,,HAMILTON,28,20,-,Y,Y,,,59,73,11,-,30.3,85,10,-,90,-,26,0,-,BAIMBRIDGE COLLEGE,45552,55916.0,15916.0,45552,Baimbridge College,HAMILTON,VIC,3300,Government,Secondary,0,School Single Entity,-37.733311,142.014634,1,Inner Regional,20540660000,21701142120,217011421,Hamilton (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,26260,Southern Grampians,24408,Lowan (Western Victoria),238,Wannon,2024,45552,55916.0,15916.0,Baimbridge College,Hamilton,VIC,3300,Government,Secondary,School Single Entity,Individual Reporting,http://www.baimbridge-co.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,940.0,21.0,54.0,28.0,14.0,4.0,37.0,30.9,35.0,21.3,332.0,164.0,168.0,331.4,11.0,2.0,86.0,12.0
Bairnsdale Secondary College,,BAIRNSDALE,41,28,-,Y,Y,,,176,202,7,-,43.9,96,26,-,85,-,26,1.1,7,BAIRNSDALE SECONDARY COLLEGE,45489,52086.0,12086.0,45489,Bairnsdale Secondary College,BAIRNSDALE,VIC,3875,Government,Secondary,0,School Head Campus,-37.83202616,147.62203757,2,Outer Regional,20157550000,20502108110,205021081,Bairnsdale,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland,2024,45489,52086.0,12086.0,Bairnsdale Secondary College,Bairnsdale,VIC,3875,Government,Secondary,School Head Campus,Rolled Reporting,http://www.bairnsdalesc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Outer Regional,949.0,24.0,48.0,31.0,15.0,6.0,117.0,94.7,74.0,62.0,1158.0,550.0,608.0,1157.7,11.0,4.0,95.0,2.0
Balcombe Grammar School,,MOUNT MARTHA,31,9,2,,,,,171,21,-,< 4,75.7,100,-,4,100,I/D,30,5.2,-,BALCOMBE GRAMMAR SCHOOL,46383,67586.0,27586.0,46383,Balcombe Grammar School,MOUNT MARTHA,VIC,3934,Independent,Combined,0,School Single Entity,-38.2738,145.033,0,Major Cities,20631968320,21402138235,214021382,Mount Martha,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,25301,Mornington (Eastern Victoria),213,Flinders,2024,46383,67586.0,27586.0,Balcombe Grammar School,Mount Martha,VIC,3934,Independent,Combined,School Single Entity,Individual Reporting,http://www.balcombegrammar.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1101.0,84.0,5.0,20.0,39.0,37.0,84.0,72.7,59.0,41.2,972.0,498.0,474.0,971.0,1.0,6.0,93.0,1.0
Ballarat Christian College,,SEBASTOPOL,27,21,-,Y,,,,36,40,-,-,62.5,100,6,-,83,-,25,0,-,BALLARAT CHRISTIAN COLLEGE,46384,66580.0,26580.0,46384,Ballarat Christian College,SEBASTOPOL,VIC,3356,Independent,Combined,0,School Single Entity,-37.59333224,143.84324898,1,Inner Regional,20014911000,20101148425,201011484,Sebastopol - Redan,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat,2024,46384,66580.0,26580.0,Ballarat Christian College,Sebastopol,VIC,3356,Independent,Combined,School Single Entity,Individual Reporting,http://www.balcc.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Inner Regional,1060.0,72.0,16.0,24.0,35.0,26.0,41.0,32.8,34.0,23.6,360.0,173.0,187.0,359.2,1.0,31.0,69.0,0.0
Ballarat Clarendon College,,BALLARAT,37,13,-,,,,Y,255,103,-,-,92.6,100,-,8,100,-,37,34.7,-,BALLARAT CLARENDON COLLEGE,46146,56351.0,16351.0,46146,Ballarat Clarendon College,BALLARAT,VIC,3350,Independent,Combined,0,School Head Campus,-37.55964761,143.8336504,1,Inner Regional,20631984730,20101100206,201011002,Ballarat,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat,2024,46146,56351.0,16351.0,Ballarat Clarendon College,Ballarat,VIC,3350,Independent,Combined,School Head Campus,Rolled Reporting,http://www.clarendon.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Inner Regional,1171.0,98.0,2.0,8.0,23.0,67.0,201.0,140.3,146.0,58.5,1876.0,919.0,957.0,1876.0,0.0,43.0,57.0,0.0
Ballarat Grammar,,WENDOUREE,55,20,4,Y,,,,413,132,-,< 4,80.9,100,13,14,100,I/D,32,11.7,-,BALLARAT GRAMMAR,46166,56352.0,16352.0,46166,Ballarat Grammar,WENDOUREE,VIC,3355,Independent,Combined,0,School Head Campus,-37.539237,143.83083,1,Inner Regional,20011271000,20101100825,201011008,Wendouree - Miners Rest,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat,2024,46166,56352.0,16352.0,Ballarat Grammar,Wendouree,VIC,3355,Independent,Combined,School Head Campus,Rolled Reporting,http://www.bgs.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Inner Regional,1125.0,91.0,4.0,17.0,30.0,49.0,236.0,172.7,132.0,85.4,1930.0,993.0,937.0,1929.5,1.0,10.0,90.0,0.0
Ballarat High School,,BALLARAT,59,44,2,Y,Y,,,275,273,14,< 4,50,96,44,-,80,I/D,29,2.2,-,BALLARAT HIGH SCHOOL,45350,50119.0,10119.0,45350,Ballarat High School,LAKE GARDENS,VIC,3350,Government,Secondary,0,School Single Entity,-37.554234,143.817713,1,Inner Regional,20011660000,20101100202,201011002,Ballarat,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat,2024,45350,50119.0,10119.0,Ballarat High School,Lake Gardens,VIC,3350,Government,Secondary,School Single Entity,Individual Reporting,http://www.ballaraths.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,1019.0,55.0,29.0,31.0,25.0,14.0,139.0,118.2,65.0,43.6,1419.0,755.0,664.0,1418.5,3.0,11.0,89.0,0.0
Balwyn High School,,BALWYN NORTH,62,12,2,Y,,,,608,26,< 4,< 4,92.4,100,< 4,42,78,I/D,32,14.7,-,BALWYN HIGH SCHOOL,45351,48243.0,8243.0,45351,Balwyn High School,BALWYN NORTH,VIC,3104,Government,Secondary,0,School Single Entity,-37.79785922,145.07677235,0,Major Cities,20057640000,20701114823,207011148,Balwyn North,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong,2024,45351,48243.0,8243.0,Balwyn High School,Balwyn North,VIC,3104,Government,Secondary,School Single Entity,Individual Reporting,http://www.balwynhs.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1143.0,94.0,3.0,10.0,29.0,58.0,221.0,191.7,93.0,50.4,2229.0,970.0,1259.0,2227.2,0.0,78.0,21.0,1.0
Bannockburn P-12 College,,BANNOCKBURN,38,24,4,Y,Y,,,89,99,5,< 4,40.4,95,15,-,86,I/D,23,1.5,< 4,BANNOCKBURN P-12 COLLEGE,44168,50044.0,10044.0,44168,Bannockburn P-12 College,BANNOCKBURN,VIC,3331,Government,Combined,0,School Single Entity,-38.047092,144.16951,1,Inner Regional,20631915640,20301103413,203011034,Bannockburn,20301,Barwon - West,203,Geelong,22490,Golden Plains,23108,Geelong (Western Victoria),209,Corangamite,2024,44168,50044.0,10044.0,Bannockburn P-12 College,Bannockburn,VIC,3331,Government,Combined,School Single Entity,Individual Reporting,http://www.bannockburnps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Inner Regional,985.0,40.0,39.0,37.0,19.0,5.0,82.0,71.5,37.0,27.7,847.0,404.0,443.0,846.5,3.0,4.0,93.0,3.0
Bass Coast College,,WONTHAGGI,58,34,-,Y,,,,270,310,15,-,53.1,95,29,< 4,64,-,28,3.6,-,BASS COAST COLLEGE,40597,52276.0,12276.0,40597,Bass Coast College,WONTHAGGI,VIC,3995,Government,Secondary,0,School Head Campus,-38.609807,145.597177,1,Inner Regional,20681530000,20503109314,205031093,Wonthaggi - Inverloch,20503,Gippsland - South West,205,Latrobe - Gippsland,20740,Bass Coast,20301,Bass (Eastern Victoria),235,Monash,2024,40597,52276.0,12276.0,Bass Coast College,Wonthaggi,VIC,3995,Government,Secondary,School Head Campus,Rolled Reporting,http://www.wonthaggisc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,991.0,42.0,39.0,33.0,19.0,9.0,185.0,160.2,106.0,71.1,1617.0,813.0,804.0,1613.1,3.0,5.0,90.0,5.0
Bayside Christian College,,LANGWARRIN SOUTH,36,22,-,Y,,,,84,45,< 4,-,52.9,98,12,-,98,-,30,3.6,-,BAYSIDE CHRISTIAN COLLEGE,46271,44000.0,4000.0,46271,Bayside Christian College,LANGWARRIN SOUTH,VIC,3911,Independent,Combined,0,School Single Entity,-38.178632,145.16302,0,Major Cities,20631911920,21401137426,214011374,Langwarrin,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23601,Hastings (Eastern Victoria),212,Dunkley,2024,46271,44000.0,4000.0,Bayside Christian College,Langwarrin South,VIC,3911,Independent,Combined,School Single Entity,Individual Reporting,http://www.baysidecc.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1081.0,79.0,8.0,27.0,37.0,29.0,60.0,49.9,45.0,29.7,578.0,285.0,293.0,577.7,1.0,11.0,89.0,0.0
Bayside P-12 College,,NEWPORT,41,21,2,Y,Y,,,139,118,< 4,< 4,58.7,99,32,< 4,81,I/D,28,2.3,-,BAYSIDE P-12 COLLEGE,45538,56370.0,16370.0,45538,Bayside P-12 College,WILLIAMSTOWN,VIC,3016,Government,Combined,0,School Head Campus,-37.85770007,144.88521383,0,Major Cities,20285760000,21302134622,213021346,Williamstown,21302,Hobsons Bay,213,Melbourne - West,23110,Hobsons Bay,28707,Williamstown (Western Metropolitan),215,Gellibrand,2024,45538,56370.0,16370.0,Bayside P-12 College,Williamstown,VIC,3016,Government,Combined,School Head Campus,Rolled Reporting,http://www.bayside.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Major Cities,1009.0,51.0,34.0,28.0,22.0,15.0,105.0,94.6,42.0,33.9,1053.0,522.0,531.0,1053.0,2.0,46.0,54.0,0.0
Bayswater Secondary College,,BAYSWATER,35,27,2,Y,,,,47,70,< 4,< 4,44.4,93,9,-,53,I/D,26,0,-,BAYSWATER SECONDARY COLLEGE,45352,48992.0,8992.0,45352,Bayswater Secondary College,BAYSWATER,VIC,3153,Government,Secondary,0,School Single Entity,-37.83903,145.261998,0,Major Cities,20326850000,21101125120,211011251,Bayswater,21101,Knox,211,Melbourne - Outer East,23670,Knox,20402,Bayswater (North-Eastern Metropolitan),201,Aston,2024,45352,48992.0,8992.0,Bayswater Secondary College,Bayswater,VIC,3153,Government,Secondary,School Single Entity,Individual Reporting,http://www.bayswatersc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,980.0,38.0,47.0,27.0,19.0,7.0,29.0,27.2,22.0,13.9,228.0,99.0,129.0,224.9,2.0,13.0,86.0,0.0
Bayview College,,PORTLAND,28,14,-,Y,Y,,,64,26,-,-,74.2,100,< 4,< 4,88,-,27,1.4,-,BAYVIEW COLLEGE,46161,55834.0,15834.0,46161,Bayview College,PORTLAND,VIC,3305,Independent,Secondary,0,School Single Entity,-38.3452,141.606,2,Outer Regional,20631941960,21701142232,217011422,Portland,21701,Glenelg - Southern Grampians,217,Warrnambool and South West,22410,Glenelg,27808,South-West Coast (Western Victoria),238,Wannon,2024,46161,55834.0,15834.0,Bayview College,Portland,VIC,3305,Independent,Secondary,School Single Entity,Individual Reporting,http://www.bayview.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,7-12,Outer Regional,1011.0,52.0,25.0,33.0,26.0,16.0,35.0,31.4,18.0,14.5,287.0,145.0,142.0,284.6,9.0,1.0,99.0,0.0
