School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Donvale Christian College,Donvale Christian College,DONVALE,VIC,-37.774028,145.193451,1156.0,96.0,1612.0,1.0,33.0,33,10.7,211021261.0,Donvale - Park Orchards
Dromana Secondary College,Dromana Secondary College,DROMANA,VIC,-38.342636,145.013582,1012.0,52.0,1762.0,2.0,4.0,32,8.7,214021377.0,Dromana
Drouin Secondary College,Drouin Secondary College,DROUIN,VIC,-38.144659,145.850978,973.0,34.0,1166.0,3.0,3.0,25,1.1,205011076.0,Drouin
Eaglehawk Secondary College,Eaglehawk Secondary College,EAGLEHAWK,VIC,-36.720264,144.262694,915.0,14.0,576.0,13.0,6.0,-,-,202011019.0,California Gully - Eaglehawk
East Loddon P-12 College,East Loddon P-12 College,DINGEE,VIC,-36.372222,144.141446,975.0,35.0,267.0,3.0,1.0,28,1.7,202031033.0,Loddon
East Preston Islamic College,East Preston Islamic College,PRESTON,VIC,-37.73395221,145.03438975,985.0,40.0,708.0,0.0,97.0,21,0,209021428.0,Preston - East
Echuca College,Echuca College,ECHUCA,VIC,-36.132394,144.732423,934.0,19.0,634.0,14.0,6.0,24,0.7,216011406.0,Echuca
Edenhope College,Edenhope College,EDENHOPE,VIC,-37.03342876,141.29856271,971.0,34.0,125.0,5.0,3.0,25,0,215011393.0,West Wimmera
Edgars Creek Secondary College,Edgars Creek Secondary College,WOLLERT,VIC,-37.616208,145.004876,999.0,46.0,1304.0,1.0,76.0,26,1,209041437.0,Wollert
Edinburgh College,Edinburgh College,LILYDALE,VIC,-37.78495788574219,145.3518829345703,1078.0,78.0,534.0,1.0,16.0,28,1,211051278.0,Lilydale - Coldstream
Elevation Secondary College,Elevation Secondary College,CRAIGIEBURN,VIC,-37.598,144.8889,968.0,32.0,971.0,1.0,82.0,30,9.4,210051443.0,Craigieburn - South
Elisabeth Murdoch College,Elisabeth Murdoch College,LANGWARRIN,VIC,-38.159291,145.19018,1007.0,50.0,1573.0,3.0,5.0,31,10.8,214011374.0,Langwarrin
Eltham College,Eltham College,RESEARCH,VIC,-37.70044311,145.192232,1145.0,94.0,648.0,0.0,15.0,31,9,209031214.0,Research - North Warrandyte
Eltham High School,Eltham High School,ELTHAM,VIC,-37.72464493,145.14248575,1094.0,83.0,1403.0,1.0,9.0,29,5.3,209031209.0,Eltham
Elwood College,Elwood College,ELWOOD,VIC,-37.881989,144.984486,1108.0,86.0,827.0,1.0,30.0,31,9.3,206051129.0,Elwood
Emerald Secondary College,Emerald Secondary College,EMERALD,VIC,-37.92427055,145.45874374,1010.0,52.0,650.0,3.0,5.0,28,1.6,212011289.0,Emerald - Cockatoo
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1075.0,77.0,2498.0,0.0,40.0,28,4.6,213021343.0,Altona North
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1136.0,93.0,1651.0,1.0,23.0,28,4.6,213021343.0,Altona North
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1075.0,77.0,2498.0,0.0,40.0,28,4.6,213021343.0,Altona North
