School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Santa Maria College,Santa Maria College,NORTHCOTE,VIC,-37.770356,145.00248,1127.0,91.0,1345.0,0.0,10.0,30,8.9,206021499.0,Northcote - East
Santa Maria College,Santa Maria College,ATTADALE,WA,-32.021933,115.802947,1111.0,87.0,772.0,0.0,9.0,30,8.9,206021499.0,Northcote - East
Santa Maria College,Santa Maria College,ATTADALE,WA,-32.021933,115.802947,1127.0,91.0,1345.0,0.0,10.0,30,8.9,206021499.0,Northcote - East
Scoresby Secondary College,Scoresby Secondary College,SCORESBY,VIC,-37.888642,145.2362,1004.0,49.0,241.0,2.0,18.0,28,5.6,211011254.0,Knoxfield - Scoresby
Scotch College,Scotch College,HAWTHORN,VIC,-37.833922,145.032288,1191.0,99.0,1919.0,1.0,35.0,34,22.6,207011520.0,Hawthorn - South
Scotch College,Scotch College,HAWTHORN,VIC,-37.833922,145.032288,1153.0,96.0,1513.0,1.0,15.0,34,22.6,207011520.0,Hawthorn - South
Scotch College,Scotch College,HAWTHORN,VIC,-37.833922,145.032288,1151.0,95.0,1215.0,1.0,10.0,34,22.6,207011520.0,Hawthorn - South
Scotch College,Scotch College,SWANBOURNE,WA,-31.980415,115.77460933,1191.0,99.0,1919.0,1.0,35.0,34,22.6,207011520.0,Hawthorn - South
Scotch College,Scotch College,SWANBOURNE,WA,-31.980415,115.77460933,1153.0,96.0,1513.0,1.0,15.0,34,22.6,207011520.0,Hawthorn - South
Scotch College,Scotch College,SWANBOURNE,WA,-31.980415,115.77460933,1151.0,95.0,1215.0,1.0,10.0,34,22.6,207011520.0,Hawthorn - South
Seymour College,Seymour College,SEYMOUR,VIC,-37.02984234,145.1411167,939.0,20.0,739.0,7.0,6.0,25,1.7,204011059.0,Seymour
Seymour College,Seymour College,SEYMOUR,VIC,-37.02984234,145.1411167,1143.0,94.0,727.0,2.0,14.0,25,1.7,204011059.0,Seymour
Seymour College,Seymour College,GLEN OSMOND,SA,-34.955977,138.646167,939.0,20.0,739.0,7.0,6.0,25,1.7,204011059.0,Seymour
Seymour College,Seymour College,GLEN OSMOND,SA,-34.955977,138.646167,1143.0,94.0,727.0,2.0,14.0,25,1.7,204011059.0,Seymour
Shelford Girls' Grammar,Shelford Girls' Grammar,CAULFIELD,VIC,-37.877908,145.011318,1138.0,93.0,207.0,0.0,34.0,34,20.7,208021177.0,Caulfield - North
Shepparton Christian College,Shepparton Christian College,SHEPPARTON,VIC,-36.35375591,145.41625825,1044.0,66.0,314.0,2.0,25.0,28,3,216031416.0,Shepparton - North
Sherbrooke Community School,Sherbrooke Community School,SASSAFRAS,VIC,-37.868244,145.349444,980.0,38.0,108.0,6.0,3.0,26,0,211051282.0,Mount Dandenong - Olinda
Simonds Catholic College,Simonds Catholic College,WEST MELBOURNE,VIC,-37.805971,144.952883,1045.0,66.0,389.0,1.0,40.0,30,6.5,206041510.0,West Melbourne - Residential
Somerville Secondary College,Somerville Secondary College,SOMERVILLE,VIC,-38.22721827,145.16822738,986.0,40.0,543.0,4.0,2.0,28,0,214021385.0,Somerville
Southern Cross Grammar,Southern Cross Grammar,CAROLINE SPRINGS,VIC,-37.71396413,144.73960237,1134.0,92.0,867.0,0.0,77.0,29,4.6,213041360.0,Taylors Hill
St Albans Secondary College,St Albans Secondary College,ST ALBANS,VIC,-37.745308,144.807009,963.0,30.0,1680.0,1.0,87.0,31,8.8,213011335.0,St Albans - South
St Aloysius College,St Aloysius College,NORTH MELBOURNE,VIC,-37.792892,144.942875,1114.0,88.0,560.0,0.0,35.0,31,8.6,206041506.0,North Melbourne
St Aloysius College,St Aloysius College,NORTH MELBOURNE,VIC,-37.792892,144.942875,1092.0,82.0,1137.0,3.0,28.0,31,8.6,206041506.0,North Melbourne
St Aloysius College,St Aloysius College,ADELAIDE,SA,-34.928662,138.602952,1114.0,88.0,560.0,0.0,35.0,31,8.6,206041506.0,North Melbourne
St Aloysius College,St Aloysius College,ADELAIDE,SA,-34.928662,138.602952,1092.0,82.0,1137.0,3.0,28.0,31,8.6,206041506.0,North Melbourne
St Andrews Christian College,St Andrews Christian College,WANTIRNA SOUTH,VIC,-37.8741927,145.2442752,1168.0,98.0,689.0,0.0,21.0,34,20.1,211011260.0,Wantirna South
St Anne's College,St Anne's College,KIALLA,VIC,-36.43834,145.40058,1016.0,54.0,529.0,4.0,34.0,25,0.7,216031593.0,Kialla
St Arnaud Secondary College,St Arnaud Secondary College,ST ARNAUD,VIC,-36.609547,143.250936,963.0,30.0,151.0,4.0,3.0,26,0,215011391.0,St Arnaud
St Augustine's College,St Augustine's College,KYABRAM,VIC,-36.30955,145.044713,1015.0,54.0,687.0,5.0,8.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,KYABRAM,VIC,-36.30955,145.044713,1057.0,71.0,1530.0,2.0,18.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,KYABRAM,VIC,-36.30955,145.044713,1063.0,73.0,783.0,10.0,15.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,AUGUSTINE HEIGHTS,QLD,-27.658092,152.888679,1015.0,54.0,687.0,5.0,8.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,AUGUSTINE HEIGHTS,QLD,-27.658092,152.888679,1057.0,71.0,1530.0,2.0,18.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,AUGUSTINE HEIGHTS,QLD,-27.658092,152.888679,1063.0,73.0,783.0,10.0,15.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,CAIRNS,QLD,-16.926355,145.768001,1015.0,54.0,687.0,5.0,8.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,CAIRNS,QLD,-16.926355,145.768001,1057.0,71.0,1530.0,2.0,18.0,27,1.5,216011407.0,Kyabram
St Augustine's College,St Augustine's College,CAIRNS,QLD,-16.926355,145.768001,1063.0,73.0,783.0,10.0,15.0,27,1.5,216011407.0,Kyabram
St Bede's College,St Bede's College,MENTONE,VIC,-37.991161,145.068214,1095.0,83.0,1876.0,0.0,9.0,30,6.9,208031190.0,Mentone
St Bernard's College,St Bernard's College,ESSENDON,VIC,-37.74942324,144.88352628,1100.0,84.0,1555.0,0.0,7.0,31,8,210011230.0,Niddrie - Essendon West
St Brigid's College,St Brigid's College,HORSHAM,VIC,-36.717313,142.207946,1001.0,47.0,229.0,3.0,4.0,27,1.9,215011388.0,Horsham
St Brigid's College,St Brigid's College,HORSHAM,VIC,-36.717313,142.207946,1054.0,70.0,812.0,5.0,10.0,27,1.9,215011388.0,Horsham
St Brigid's College,St Brigid's College,LESMURDIE,WA,-31.9966,116.052,1001.0,47.0,229.0,3.0,4.0,27,1.9,215011388.0,Horsham
St Brigid's College,St Brigid's College,LESMURDIE,WA,-31.9966,116.052,1054.0,70.0,812.0,5.0,10.0,27,1.9,215011388.0,Horsham
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1156.0,96.0,1099.0,2.0,10.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1156.0,96.0,1099.0,2.0,10.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1156.0,96.0,1099.0,2.0,10.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1093.0,82.0,100.0,0.0,13.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1093.0,82.0,100.0,0.0,13.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1093.0,82.0,100.0,0.0,13.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1032.0,61.0,294.0,0.0,58.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1032.0,61.0,294.0,0.0,58.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1032.0,61.0,294.0,0.0,58.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1160.0,97.0,681.0,0.0,27.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1160.0,97.0,681.0,0.0,27.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1160.0,97.0,681.0,0.0,27.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1116.0,88.0,167.0,0.0,2.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1116.0,88.0,167.0,0.0,2.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,WAVERLEY,NSW,-33.904702,151.254173,1116.0,88.0,167.0,0.0,2.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1156.0,96.0,1099.0,2.0,10.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1156.0,96.0,1099.0,2.0,10.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1156.0,96.0,1099.0,2.0,10.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1093.0,82.0,100.0,0.0,13.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1093.0,82.0,100.0,0.0,13.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1093.0,82.0,100.0,0.0,13.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1032.0,61.0,294.0,0.0,58.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1032.0,61.0,294.0,0.0,58.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1032.0,61.0,294.0,0.0,58.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1160.0,97.0,681.0,0.0,27.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1160.0,97.0,681.0,0.0,27.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1160.0,97.0,681.0,0.0,27.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1116.0,88.0,167.0,0.0,2.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1116.0,88.0,167.0,0.0,2.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,MOORABBIN,VIC,-37.938224,145.052171,1116.0,88.0,167.0,0.0,2.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1156.0,96.0,1099.0,2.0,10.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1156.0,96.0,1099.0,2.0,10.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1156.0,96.0,1099.0,2.0,10.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1093.0,82.0,100.0,0.0,13.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1093.0,82.0,100.0,0.0,13.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1093.0,82.0,100.0,0.0,13.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1032.0,61.0,294.0,0.0,58.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1032.0,61.0,294.0,0.0,58.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1032.0,61.0,294.0,0.0,58.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1160.0,97.0,681.0,0.0,27.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1160.0,97.0,681.0,0.0,27.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1160.0,97.0,681.0,0.0,27.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1116.0,88.0,167.0,0.0,2.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1116.0,88.0,167.0,0.0,2.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,LALOR,VIC,-37.66560256,145.0032382,1116.0,88.0,167.0,0.0,2.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1156.0,96.0,1099.0,2.0,10.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1156.0,96.0,1099.0,2.0,10.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1156.0,96.0,1099.0,2.0,10.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1093.0,82.0,100.0,0.0,13.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1093.0,82.0,100.0,0.0,13.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1093.0,82.0,100.0,0.0,13.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1032.0,61.0,294.0,0.0,58.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1032.0,61.0,294.0,0.0,58.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1032.0,61.0,294.0,0.0,58.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1160.0,97.0,681.0,0.0,27.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1160.0,97.0,681.0,0.0,27.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1160.0,97.0,681.0,0.0,27.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1116.0,88.0,167.0,0.0,2.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1116.0,88.0,167.0,0.0,2.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,TOORAK,VIC,-37.838296,145.021269,1116.0,88.0,167.0,0.0,2.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1156.0,96.0,1099.0,2.0,10.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1156.0,96.0,1099.0,2.0,10.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1156.0,96.0,1099.0,2.0,10.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1093.0,82.0,100.0,0.0,13.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1093.0,82.0,100.0,0.0,13.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1093.0,82.0,100.0,0.0,13.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1032.0,61.0,294.0,0.0,58.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1032.0,61.0,294.0,0.0,58.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1032.0,61.0,294.0,0.0,58.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1160.0,97.0,681.0,0.0,27.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1160.0,97.0,681.0,0.0,27.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1160.0,97.0,681.0,0.0,27.0,36,30.8,206061138.0,Toorak
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1116.0,88.0,167.0,0.0,2.0,36,30.8,208031191.0,Moorabbin - Heatherton
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1116.0,88.0,167.0,0.0,2.0,36,30.8,209041530.0,Lalor - West
St Catherine's School,St Catherine's School,STIRLING,SA,-35.004028,138.709651,1116.0,88.0,167.0,0.0,2.0,36,30.8,206061138.0,Toorak
St Columba's College,St Columba's College,ESSENDON,VIC,-37.757202,144.91429,1107.0,86.0,1028.0,0.0,21.0,31,7,206031502.0,Essendon - East
St Francis Catholic College,St Francis Catholic College,MELTON WEST,VIC,-37.677246,144.550411,1018.0,55.0,1565.0,2.0,30.0,29,3,213041358.0,Melton West
St Francis Catholic College,St Francis Catholic College,MELTON WEST,VIC,-37.677246,144.550411,1087.0,81.0,1496.0,1.0,57.0,29,3,213041358.0,Melton West
St Francis Catholic College,St Francis Catholic College,EDMONDSON PARK,NSW,-33.96238533,150.8543248,1018.0,55.0,1565.0,2.0,30.0,29,3,213041358.0,Melton West
St Francis Catholic College,St Francis Catholic College,EDMONDSON PARK,NSW,-33.96238533,150.8543248,1087.0,81.0,1496.0,1.0,57.0,29,3,213041358.0,Melton West
St Francis Xavier College,St Francis Xavier College,BEACONSFIELD,VIC,-38.051525,145.373328,1042.0,65.0,3052.0,0.0,37.0,27,3.6,212011546.0,Beaconsfield - Officer
St Francis Xavier College,St Francis Xavier College,BEACONSFIELD,VIC,-38.051525,145.373328,1068.0,75.0,1260.0,2.0,10.0,27,3.6,212011546.0,Beaconsfield - Officer
St Francis Xavier College,St Francis Xavier College,FLOREY,ACT,-35.224,149.0406,1042.0,65.0,3052.0,0.0,37.0,27,3.6,212011546.0,Beaconsfield - Officer
St Francis Xavier College,St Francis Xavier College,FLOREY,ACT,-35.224,149.0406,1068.0,75.0,1260.0,2.0,10.0,27,3.6,212011546.0,Beaconsfield - Officer
St Helena Secondary College,St Helena Secondary College,ELTHAM NORTH,VIC,-37.686582,145.139842,1065.0,74.0,1491.0,1.0,15.0,29,5.3,209011197.0,Greensborough
St John's Regional College,St John's Regional College,DANDENONG,VIC,-37.990229,145.226256,996.0,45.0,568.0,0.0,35.0,27,3,212041563.0,Dandenong - North
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,LOCHINVAR,NSW,-32.697761,151.45795,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BANORA POINT,NSW,-28.21023974130746,153.53661001574704,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,HUNTERS HILL,NSW,-33.8304,151.139,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1179.0,98.0,1802.0,1.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1037.0,63.0,929.0,5.0,10.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1026.0,58.0,660.0,4.0,20.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,FERNTREE GULLY,VIC,-37.89049,145.295093,1040.0,64.0,1296.0,3.0,13.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,998.0,46.0,941.0,12.0,7.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1046.0,66.0,805.0,5.0,8.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1131.0,92.0,1081.0,4.0,12.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
St Joseph's College,St Joseph's College,BRISBANE,QLD,-27.456773,153.025124,1047.0,67.0,974.0,0.0,3.0,28,1,211011448.0,Ferntree Gully (South) - Upper Ferntree Gully
