School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
Craigieburn Secondary College,Craigieburn Secondary College,CRAIGIEBURN,VIC,-37.60861754,144.93558169,921.0,15.0,1027.0,1.0,69.0,21,0.7
Cranbourne Secondary College,Cranbourne Secondary College,CRANBOURNE,VIC,-38.108126,145.286641,931.0,18.0,1203.0,2.0,50.0,24,0.3
Croydon Community School,Croydon Community School,CROYDON,VIC,-37.7893876,145.2807261,983.0,39.0,157.0,9.0,3.0,-,-
Damascus College,Damascus College,MOUNT CLEAR,VIC,-37.611456,143.870347,1056.0,70.0,1193.0,1.0,2.0,29,3.7
Dandenong High School,Dandenong High School,DANDENONG,VIC,-37.979418,145.209011,896.0,10.0,1404.0,1.0,91.0,25,1.7
Darul Ulum College of Victoria,Darul Ulum College of Victoria,FAWKNER,VIC,-37.705621,144.971191,1011.0,52.0,1548.0,0.0,100.0,31,7.3
Daylesford Secondary College,Daylesford Secondary College,DAYLESFORD,VIC,-37.33466597,144.15185097,1007.0,50.0,476.0,3.0,5.0,29,3.5
De La Salle College,De La Salle College,MALVERN,VIC,-37.857677,145.032183,1124.0,90.0,944.0,0.0,8.0,30,5
Diamond Valley College,Diamond Valley College,DIAMOND CREEK,VIC,-37.672433,145.167704,1024.0,58.0,817.0,2.0,6.0,25,0.7
Divrei Emineh,Divrei Emineh,ELSTERNWICK,VIC,-37.903565,145.035018,932.0,18.0,163.0,0.0,92.0,-,-
Donald High School,Donald High School,DONALD,VIC,-36.370594,142.977163,972.0,34.0,97.0,7.0,8.0,29,8.3
Doncaster Secondary College,Doncaster Secondary College,DONCASTER,VIC,-37.784581,145.138053,1064.0,74.0,1180.0,0.0,31.0,32,13
Donvale Christian College,Donvale Christian College,DONVALE,VIC,-37.774028,145.193451,1156.0,96.0,1612.0,1.0,33.0,33,10.7
Dromana Secondary College,Dromana Secondary College,DROMANA,VIC,-38.342636,145.013582,1012.0,52.0,1762.0,2.0,4.0,32,8.7
Drouin Secondary College,Drouin Secondary College,DROUIN,VIC,-38.144659,145.850978,973.0,34.0,1166.0,3.0,3.0,25,1.1
Eaglehawk Secondary College,Eaglehawk Secondary College,EAGLEHAWK,VIC,-36.720264,144.262694,915.0,14.0,576.0,13.0,6.0,-,-
East Loddon P-12 College,East Loddon P-12 College,DINGEE,VIC,-36.372222,144.141446,975.0,35.0,267.0,3.0,1.0,28,1.7
East Preston Islamic College,East Preston Islamic College,PRESTON,VIC,-37.73395221,145.03438975,985.0,40.0,708.0,0.0,97.0,21,0
Echuca College,Echuca College,ECHUCA,VIC,-36.132394,144.732423,934.0,19.0,634.0,14.0,6.0,24,0.7
Edenhope College,Edenhope College,EDENHOPE,VIC,-37.03342876,141.29856271,971.0,34.0,125.0,5.0,3.0,25,0
Edgars Creek Secondary College,Edgars Creek Secondary College,WOLLERT,VIC,-37.616208,145.004876,999.0,46.0,1304.0,1.0,76.0,26,1
Edinburgh College,Edinburgh College,LILYDALE,VIC,-37.78495788574219,145.3518829345703,1078.0,78.0,534.0,1.0,16.0,28,1
Elevation Secondary College,Elevation Secondary College,CRAIGIEBURN,VIC,-37.598,144.8889,968.0,32.0,971.0,1.0,82.0,30,9.4
Elisabeth Murdoch College,Elisabeth Murdoch College,LANGWARRIN,VIC,-38.159291,145.19018,1007.0,50.0,1573.0,3.0,5.0,31,10.8
Eltham College,Eltham College,RESEARCH,VIC,-37.70044311,145.192232,1145.0,94.0,648.0,0.0,15.0,31,9
Eltham High School,Eltham High School,ELTHAM,VIC,-37.72464493,145.14248575,1094.0,83.0,1403.0,1.0,9.0,29,5.3
Elwood College,Elwood College,ELWOOD,VIC,-37.881989,144.984486,1108.0,86.0,827.0,1.0,30.0,31,9.3
Emerald Secondary College,Emerald Secondary College,EMERALD,VIC,-37.92427055,145.45874374,1010.0,52.0,650.0,3.0,5.0,28,1.6
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1075.0,77.0,2498.0,0.0,40.0,28,4.6
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1136.0,93.0,1651.0,1.0,23.0,28,4.6
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1075.0,77.0,2498.0,0.0,40.0,28,4.6
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1136.0,93.0,1651.0,1.0,23.0,28,4.6
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1075.0,77.0,2498.0,0.0,40.0,30,6.4
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1136.0,93.0,1651.0,1.0,23.0,30,6.4
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1075.0,77.0,2498.0,0.0,40.0,30,6.4
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1136.0,93.0,1651.0,1.0,23.0,30,6.4
Emmaus College,Emmaus College,VERMONT SOUTH,VIC,-37.847990854423244,145.17444779150486,1079.0,78.0,1444.0,0.0,27.0,31,9.8
Emmaus College,Emmaus College,VERMONT SOUTH,VIC,-37.847990854423244,145.17444779150486,1026.0,58.0,1527.0,3.0,3.0,31,9.8
Emmaus College,Emmaus College,VERMONT SOUTH,VIC,-37.847990854423244,145.17444779150486,997.0,45.0,1323.0,11.0,6.0,31,9.8
Emmaus College,Emmaus College,JIMBOOMBA,QLD,-27.834339,153.037683,1079.0,78.0,1444.0,0.0,27.0,31,9.8
Emmaus College,Emmaus College,JIMBOOMBA,QLD,-27.834339,153.037683,1026.0,58.0,1527.0,3.0,3.0,31,9.8
Emmaus College,Emmaus College,JIMBOOMBA,QLD,-27.834339,153.037683,997.0,45.0,1323.0,11.0,6.0,31,9.8
Emmaus College,Emmaus College,PARK AVENUE,QLD,-23.349661,150.522518,1079.0,78.0,1444.0,0.0,27.0,31,9.8
Emmaus College,Emmaus College,PARK AVENUE,QLD,-23.349661,150.522518,1026.0,58.0,1527.0,3.0,3.0,31,9.8
Emmaus College,Emmaus College,PARK AVENUE,QLD,-23.349661,150.522518,997.0,45.0,1323.0,11.0,6.0,31,9.8
Epping Secondary College,Epping Secondary College,EPPING,VIC,-37.64428686,145.03283433,957.0,27.0,1047.0,4.0,48.0,28,5.2
Essendon Keilor College,Essendon Keilor College,KEILOR EAST,VIC,-37.744074,144.868237,1007.0,50.0,670.0,3.0,39.0,26,2.3
Euroa Secondary College,Euroa Secondary College,EUROA,VIC,-36.758203,145.5648,964.0,30.0,273.0,5.0,3.0,26,2.8
Fairhills High School,Fairhills High School,KNOXFIELD,VIC,-37.87289402,145.25755674,987.0,41.0,379.0,2.0,20.0,26,0
Firbank Grammar School,Firbank Grammar School,BRIGHTON,VIC,-37.906118,144.996936,1149.0,95.0,1033.0,1.0,29.0,34,19.2
Fitzroy High School,Fitzroy High School,FITZROY NORTH,VIC,-37.784911,144.987476,1097.0,83.0,491.0,3.0,27.0,28,3.7
Forest Hill College,Forest Hill College,BURWOOD EAST,VIC,-37.847965,145.163859,1046.0,67.0,469.0,1.0,34.0,29,2.1
Foster Secondary College,Foster Secondary College,FOSTER,VIC,-38.651737,146.197413,1008.0,51.0,263.0,3.0,5.0,30,3
Frankston High School,Frankston High School,FRANKSTON,VIC,-38.16056162,145.1284347,1070.0,76.0,1966.0,1.0,22.0,31,9.6
Geelong Baptist College,Geelong Baptist College,LOVELY BANKS,VIC,-38.068112,144.328265,1030.0,60.0,310.0,3.0,20.0,24,2.5
Geelong High School,Geelong High School,EAST GEELONG,VIC,-38.153026,144.373726,1000.0,47.0,954.0,3.0,7.0,27,5.1
Gilson College,Gilson College,TAYLORS HILL,VIC,-37.724488,144.762878,1071.0,76.0,1105.0,0.0,49.0,27,2.9
Gilson College,Gilson College,TAYLORS HILL,VIC,-37.724488,144.762878,1071.0,76.0,1105.0,0.0,49.0,26,0
Gippsland Grammar,Gippsland Grammar,SALE,VIC,-38.093651,147.064627,1099.0,84.0,1036.0,1.0,10.0,31,9.8
Girton Grammar School,Girton Grammar School,BENDIGO,VIC,-36.7626002224086,144.272779090017,1151.0,95.0,1083.0,1.0,20.0,31,9.4
Gisborne Secondary College,Gisborne Secondary College,GISBORNE,VIC,-37.49811364,144.58477412,1020.0,56.0,990.0,3.0,4.0,27,0.8
Glen Eira College,Glen Eira College,CAULFIELD EAST,VIC,-37.8857,145.038006,1112.0,87.0,862.0,0.0,55.0,31,6.5
Gleneagles Secondary College,Gleneagles Secondary College,ENDEAVOUR HILLS,VIC,-37.97435311,145.27628069,968.0,32.0,1323.0,1.0,69.0,29,3.2
Glenroy Private,Glenroy Private,GLENROY,VIC,-37.697077,144.928185,993.0,43.0,575.0,0.0,99.0,23,0
Good News Lutheran College,Good News Lutheran College,TARNEIT,VIC,-37.855204,144.665994,1109.0,87.0,1639.0,0.0,74.0,31,7.4
Grace Christian College Wodonga,Grace Christian College Wodonga,LENEVA,VIC,-36.157173,146.887345,1029.0,60.0,156.0,3.0,10.0,-,-
Grovedale College,Grovedale College,GROVEDALE,VIC,-38.2110078,144.32715137,993.0,44.0,693.0,4.0,7.0,25,1.1
Haileybury Rendall School,Haileybury Rendall School,BERRIMAH,NT,-12.44235,130.92232,1085.0,80.0,952.0,14.0,32.0,31,11
Hazel Glen College,Hazel Glen College,DOREEN,VIC,-37.59822111,145.12339968,1023.0,57.0,2361.0,2.0,26.0,26,2.7
Healesville High School,Healesville High School,HEALESVILLE,VIC,-37.64356325,145.53197325,967.0,32.0,305.0,9.0,4.0,27,1.6
Heathdale Christian College,Heathdale Christian College,WERRIBEE,VIC,-37.881318,144.681332,1142.0,94.0,2246.0,0.0,77.0,30,5.6
Heathmont College,Heathmont College,HEATHMONT,VIC,-37.83842619,145.23210355,1016.0,54.0,665.0,2.0,9.0,25,0.7
Heritage College,Heritage College,NARRE WARREN SOUTH,VIC,-38.050215,145.316519,1049.0,68.0,559.0,1.0,64.0,27,0.9
Hester Hornbrook Academy,Hester Hornbrook Academy,MELBOURNE,VIC,-37.82918,144.96312,937.0,20.0,475.0,8.0,14.0,-,-
Highvale Secondary College,Highvale Secondary College,GLEN WAVERLEY,VIC,-37.86624,145.176723,1110.0,87.0,1193.0,0.0,69.0,29,7.3
Hillcrest Christian College,Hillcrest Christian College,CLYDE NORTH,VIC,-38.084681,145.363801,1102.0,85.0,2135.0,0.0,52.0,29,3.4
Hillcrest Christian College,Hillcrest Christian College,CLYDE NORTH,VIC,-38.084681,145.363801,1108.0,86.0,1950.0,2.0,19.0,29,3.4
Hillcrest Christian College,Hillcrest Christian College,REEDY CREEK,QLD,-28.106418,153.397512,1102.0,85.0,2135.0,0.0,52.0,29,3.4
Hillcrest Christian College,Hillcrest Christian College,REEDY CREEK,QLD,-28.106418,153.397512,1108.0,86.0,1950.0,2.0,19.0,29,3.4
Holmes Grammar School,Holmes Grammar School,MELBOURNE,VIC,-37.810302,144.972271,,,,,,28,0
