SA2_MAIN16,sa2_name,icsea_mean,school_count
213051466,Point Cook - South,1110.5,2
213051467,Werribee - East,1003.0,5
213051468,Werribee - West,1014.3,10
214011370,Carrum Downs,1005.75,4
214011371,Frankston,1031.5714285714287,7
214011372,Frankston North,966.5833333333334,12
214011373,Frankston South,1046.0,3
214011374,Langwarrin,1047.2857142857142,7
214011375,Seaford (Vic.),1017.0,8
214011376,Skye - Sandhurst,992.0,1
214021377,Dromana,1000.3333333333334,3
214021378,Flinders,1056.0,2
214021379,Hastings - Somers,983.8888888888889,9
214021381,Mount Eliza,1109.142857142857,7
214021382,Mount Martha,1089.3333333333333,3
214021383,Point Nepean,1022.0,4
214021384,Rosebud - McCrae,984.8,5
214021385,Somerville,1015.8888888888889,9
215011386,Ararat,974.6666666666666,6
215011387,Ararat Region,1006.8333333333334,6
215011388,Horsham,986.5714285714286,7
215011389,Horsham Region,1006.0,1
215011390,Nhill Region,966.0,9
215011391,St Arnaud,980.6,5
215011392,Stawell,955.25,8
215011393,West Wimmera,980.0,4
215011394,Yarriambiack,966.25,12
215021395,Irymple,991.5,6
215021396,Merbein,976.3333333333334,3
215021398,Mildura Region,947.3333333333334,6
215021399,Red Cliffs,954.8,5
215021469,Mildura - North,956.6666666666666,6
215021470,Mildura - South,952.8,5
215031400,Buloke,988.4444444444445,9
215031401,Gannawarra,971.8,5
215031402,Kerang,959.8,5
215031403,Robinvale,900.0,2
215031404,Swan Hill,969.8571428571429,7
215031405,Swan Hill Region,927.4,5
216011406,Echuca,954.5,8
216011407,Kyabram,971.4,5
216011408,Lockington - Gunbower,959.5,2
216011409,Rochester,964.0,4
216011410,Rushworth,915.8,5
216021411,Cobram,965.0,5
216021412,Moira,963.5,2
216021413,Numurkah,953.8,10
216021414,Yarrawonga,1008.6666666666666,3
216031415,Mooroopna,913.0,3
216031416,Shepparton - North,993.75,12
216031418,Shepparton Region - East,980.5,6
216031419,Shepparton Region - West,945.8888888888889,9
217011420,Glenelg (Vic.),961.5555555555555,9
217011421,Hamilton (Vic.),989.5555555555555,9
217011422,Portland,963.0,9
217011423,Southern Grampians,1000.8888888888889,9
217031471,Camperdown,1011.3333333333334,3
217031472,Colac,971.2222222222222,9
217031473,Colac Region,974.25,4
217031474,Corangamite - North,994.5,6
217031475,Corangamite - South,955.8,5
217031476,Otway,990.6666666666666,3
217041477,Moyne - East,988.5714285714286,7
217041478,Moyne - West,1009.8333333333334,6
217041479,Warrnambool - North,1001.6363636363636,11
217041480,Warrnambool - South,1022.0,4
