School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Darul Ulum College of Victoria,FAWKNER,65,59.4,100,31,7.3,46345,56008,16008,46345,Darul Ulum College of Victoria,FAWKNER,VIC,3060,Independent,Combined,0,School Head Campus,-37.705621,144.971191,0,Major Cities,20473350000,21003123721,210031237,Fawkner,21003,Moreland - North,210,Melbourne - North West,24700,Merri-bek,21303,Broadmeadows (Northern Metropolitan),239,Wills
Daylesford Secondary College,DAYLESFORD,61,48.6,97,29,3.5,45329,50847,10847,45329,Daylesford Secondary College,DAYLESFORD,VIC,3460,Government,Secondary,0,School Single Entity,-37.33466597,144.151851,1,Inner Regional,20272960000,20102101115,201021011,Daylesford,20102,Creswick - Daylesford - Ballan,201,Ballarat,22910,Hepburn,24504,Macedon (Northern Victoria),202,Ballarat
De La Salle College,MALVERN,68,79.5,100,30,5,45771,55686,15686,45771,De La Salle College,MALVERN,VIC,3144,Catholic,Combined,0,School Head Campus,-37.857677,145.032183,0,Major Cities,20631971980,20804119429,208041194,Malvern - Glen Iris,20804,Stonnington - East,208,Melbourne - Inner South,26350,Stonnington,24606,Malvern (Southern Metropolitan),220,Higgins
Diamond Valley College,DIAMOND CREEK,126,55.7,100,25,0.7,45521,54847,14847,45521,Diamond Valley College,DIAMOND CREEK,VIC,3089,Government,Secondary,0,School Single Entity,-37.672433,145.167704,0,Major Cities,20514850000,20903121506,209031215,Wattle Glen - Diamond Creek,20903,Nillumbik - Kinglake,209,Melbourne - North East,25710,Nillumbik,22402,Eltham (North-Eastern Metropolitan),232,McEwen
Divrei Emineh,ORMOND,16,-,100,-,-,50505,69806,29806,50505,Divrei Emineh,ELSTERNWICK,VIC,3185,Independent,Combined,0,School Single Entity,-37.903565,145.035018,0,Major Cities,20198092000,20802118224,208021182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,20906,Bentleigh (Southern Metropolitan),217,Goldstein
Donald High School,DONALD,23,64.3,100,29,8.3,45378,50889,10889,45378,Donald High School,DONALD,VIC,3480,Government,Secondary,0,School Single Entity,-36.370594,142.977163,2,Outer Regional,20094990000,21503140013,215031400,Buloke,21503,Murray River - Swan Hill,215,North West,21270,Buloke,24904,Mildura (Northern Victoria),230,Mallee
Doncaster Secondary College,DONCASTER,95,74.3,98,32,13,45379,48256,8256,45379,Doncaster Secondary College,DONCASTER,VIC,3108,Government,Secondary,0,School Single Entity,-37.784581,145.138053,0,Major Cities,20369500000,20702115730,207021157,Doncaster,20702,Manningham - West,207,Melbourne - Inner East,24210,Manningham,21502,Bulleen (North-Eastern Metropolitan),234,Menzies
Donvale Christian College,DONVALE,69,86.2,99,33,10.7,46235,42403,2403,46235,Donvale Christian College,DONVALE,VIC,3111,Independent,Combined,0,School Head Campus,-37.774028,145.193451,0,Major Cities,20357420000,21102126122,211021261,Donvale - Park Orchards,21102,Manningham - East,211,Melbourne - Outer East,24210,Manningham,28402,Warrandyte (North-Eastern Metropolitan),234,Menzies
Dromana Secondary College,DROMANA,272,58.1,100,32,8.7,45330,56380,16380,45330,Dromana Secondary College,DROMANA,VIC,3936,Government,Secondary,0,School Single Entity,-38.342636,145.013582,0,Major Cities,20485210000,21402137711,214021377,Dromana,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,26001,Nepean (Eastern Victoria),213,Flinders
Drouin Secondary College,DROUIN,174,42.7,98,25,1.1,45380,51865,11865,45380,Drouin Secondary College,DROUIN,VIC,3818,Government,Secondary,0,School Head Campus,-38.144659,145.850978,1,Inner Regional,20039530000,20501107637,205011076,Drouin,20501,Baw Baw,205,Latrobe - Gippsland,20830,Baw Baw,25701,Narracan (Eastern Victoria),235,Monash
Eaglehawk Secondary College,EAGLEHAWK,28,-,-,-,-,45381,46170,6170,45381,Eaglehawk Secondary College,EAGLEHAWK,VIC,3556,Government,Secondary,0,School Single Entity,-36.720264,144.262694,1,Inner Regional,20207120000,20201101905,202011019,California Gully - Eaglehawk,20201,Bendigo,202,Bendigo,22620,Greater Bendigo,20704,Bendigo East (Northern Victoria),203,Bendigo
East Loddon P-12 College,DINGEE,21,64.7,88,28,1.7,45299,51393,11393,45299,East Loddon P-12 College,DINGEE,VIC,3571,Government,Combined,0,School Single Entity,-36.372222,144.141446,1,Inner Regional,20351460000,20203103312,202031033,Loddon,20203,Loddon - Elmore,202,Bendigo,23940,Loddon,20704,Bendigo East (Northern Victoria),230,Mallee
East Preston Islamic College,PRESTON,9,33.3,83,21,0,46349,56149,16149,46349,East Preston Islamic College,PRESTON,VIC,3072,Independent,Combined,0,School Single Entity,-37.73395221,145.0343898,0,Major Cities,20154500000,20902142838,209021428,Preston - East,20902,Darebin - North,209,Melbourne - North East,21890,Darebin,27003,Preston (Northern Metropolitan),208,Cooper
Echuca College,ECHUCA,166,51.4,99,24,0.7,40434,46325,6325,40434,Echuca College,ECHUCA,VIC,3564,Government,Secondary,0,School Single Entity,-36.132394,144.732423,1,Inner Regional,20096911000,21601140615,216011406,Echuca,21601,Campaspe,216,Shepparton,21370,Campaspe,25604,Murray Plains (Northern Victoria),236,Nicholls
Edenhope College,EDENHOPE,11,33.3,100,25,0,45222,50018,10018,45222,Edenhope College,EDENHOPE,VIC,3318,Government,Combined,0,School Single Entity,-37.03342876,141.2985627,2,Outer Regional,20586270000,21501139308,215011393,West Wimmera,21501,Grampians,215,North West,26890,West Wimmera,24408,Lowan (Western Victoria),230,Mallee
Edgars Creek Secondary College,WOLLERT,123,61.3,88,26,1,52591,85311,85310,52591,Edgars Creek Secondary College,WOLLERT,VIC,3750,Government,Secondary,0,School Single Entity,-37.616208,145.004876,0,Major Cities,21333880000,20904143745,209041437,Wollert,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin
Edinburgh College,LILYDALE,40,68.2,100,28,1,46222,42222,2222,46222,Edinburgh College,LILYDALE,VIC,3140,Independent,Combined,0,School Head Campus,-37.78495789,145.3518829,0,Major Cities,20656020000,21105127817,211051278,Lilydale - Coldstream,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Elevation Secondary College,CRAIGIEBURN,100,-,-,30,9.4,52779,86870,86869,52779,Elevation Secondary College,CRAIGIEBURN,VIC,3064,Government,Secondary,0,School Single Entity,-37.598,144.8889,0,Major Cities,21321750000,21005144345,210051443,Craigieburn - South,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23903,Kalkallo (Northern Metropolitan),205,Calwell
Elisabeth Murdoch College,LANGWARRIN,504,39.6,100,31,10.8,45506,52125,12125,45506,Elisabeth Murdoch College,LANGWARRIN,VIC,3910,Government,Secondary,0,School Single Entity,-38.159291,145.19018,0,Major Cities,20165920000,21401137448,214011374,Langwarrin,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23601,Hastings (Eastern Victoria),212,Dunkley
Eltham College,RESEARCH,91,92.1,100,31,9,46232,42179,2179,46232,Eltham College,RESEARCH,VIC,3095,Independent,Combined,0,School Head Campus,-37.70044311,145.192232,0,Major Cities,20513950000,20903121415,209031214,Research - North Warrandyte,20903,Nillumbik - Kinglake,209,Melbourne - North East,25710,Nillumbik,22402,Eltham (North-Eastern Metropolitan),225,Jagajaga
Eltham High School,ELTHAM,99,66,99,29,5.3,45382,48232,8232,45382,Eltham High School,ELTHAM,VIC,3095,Government,Secondary,0,School Single Entity,-37.72464493,145.1424858,0,Major Cities,20511890000,20903120922,209031209,Eltham,20903,Nillumbik - Kinglake,209,Melbourne - North East,25710,Nillumbik,22402,Eltham (North-Eastern Metropolitan),225,Jagajaga
Elwood College,ELWOOD,35,70.1,99,31,9.3,45383,55445,15445,45383,Elwood College,ELWOOD,VIC,3184,Government,Secondary,0,School Single Entity,-37.881989,144.984486,0,Major Cities,20521460000,20605112934,206051129,Elwood,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,21206,Brighton (Southern Metropolitan),229,Macnamara
Emerald Secondary College,EMERALD,64,51.6,100,28,1.6,45497,54722,14722,45497,Emerald Secondary College,EMERALD,VIC,3782,Government,Secondary,0,School Single Entity,-37.92427055,145.4587437,0,Major Cities,20100760000,21201128904,212011289,Emerald - Cockatoo,21201,Cardinia,212,Melbourne - South East,21450,Cardinia,25101,Monbulk (Eastern Victoria),227,La Trobe
Emmaus College,VERMONT SOUTH,226,73.1,100,31,9.8,45936,40764,764,45936,Emmaus College,VERMONT SOUTH,VIC,3133,Catholic,Secondary,0,School Head Campus,-37.84799085,145.1744478,0,Major Cities,20599060000,21104127306,211041273,Vermont South,21104,Whitehorse - East,211,Melbourne - Outer East,26980,Whitehorse,23402,Glen Waverley (North-Eastern Metropolitan),211,Deakin
Epping Secondary College,EPPING,184,61.6,98,28,5.2,45384,46254,6254,45384,Epping Secondary College,EPPING,VIC,3076,Government,Secondary,0,School Single Entity,-37.64428686,145.0328343,0,Major Cities,20619010000,20904143117,209041431,Epping - East,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin
Essendon Keilor College,ESSENDON,96,64.8,97,26,2.3,45543,56383,16383,45543,Essendon Keilor College,KEILOR EAST,VIC,3033,Government,Secondary,0,School Head Campus,-37.744074,144.868237,0,Major Cities,20455080000,21001153404,210011534,Keilor East,21001,Keilor,210,Melbourne - North West,25060,Moonee Valley,26107,Niddrie (Western Metropolitan),231,Maribyrnong
Euroa Secondary College,EUROA,106,38.5,90,26,2.8,45385,51527,11527,45385,Euroa Secondary College,EUROA,VIC,3666,Government,Secondary,0,School Single Entity,-36.758203,145.5648,1,Inner Regional,20557790000,20401105511,204011055,Euroa,20401,Upper Goulburn Valley,204,Hume,26430,Strathbogie,22704,Euroa (Northern Victoria),223,Indi
Fairhills High School,KNOXFIELD,63,55.6,93,26,0,45386,49021,9021,45386,Fairhills High School,KNOXFIELD,VIC,3180,Government,Secondary,0,School Single Entity,-37.87289402,145.2575567,0,Major Cities,20337440000,21101144729,211011447,Ferntree Gully - North,21101,Knox,211,Melbourne - Outer East,23670,Knox,20402,Bayswater (North-Eastern Metropolitan),201,Aston
Firbank Grammar School,BRIGHTON,17,100,100,34,19.2,46164,44217,4217,46164,Firbank Grammar School,BRIGHTON,VIC,3186,Independent,Combined,0,School Head Campus,-37.906118,144.996936,0,Major Cities,20043330000,20801116950,208011169,Brighton (Vic.),20801,Bayside,208,Melbourne - Inner South,20910,Bayside (Vic.),21206,Brighton (Southern Metropolitan),217,Goldstein
Fitzroy High School,FITZROY NORTH,58,73.7,93,28,3.7,45517,62781,22781,45517,Fitzroy High School,FITZROY NORTH,VIC,3068,Government,Secondary,0,School Single Entity,-37.784911,144.987476,0,Major Cities,20637940000,20607114326,206071143,Fitzroy North,20607,Yarra,206,Melbourne - Inner,27350,Yarra,21403,Brunswick (Northern Metropolitan),233,Melbourne
Footscray High School,FOOTSCRAY,127,70.3,99,29,4.2,52813,86859,86857,52813,Footscray High School,FOOTSCRAY,VIC,3011,Government,Secondary,0,School Head Campus,-37.7911,144.894,0,Major Cities,20371480000,21303134829,213031348,Footscray,21303,Maribyrnong,213,Melbourne - West,24330,Maribyrnong,22907,Footscray (Western Metropolitan),214,Fraser
Forest Hill College,BURWOOD EAST,83,58.1,94,29,2.1,45508,54850,14850,45508,Forest Hill College,BURWOOD EAST,VIC,3151,Government,Secondary,0,School Head Campus,-37.847965,145.163859,0,Major Cities,20601200000,20703116622,207031166,Burwood East,20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,23402,Glen Waverley (North-Eastern Metropolitan),207,Chisholm
Foster Secondary College,FOSTER,59,45.2,90,30,3,45389,54792,14792,45389,Foster Secondary College,FOSTER,VIC,3960,Government,Secondary,0,School Single Entity,-38.651737,146.197413,1,Inner Regional,20631989840,20503108706,205031087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,26170,South Gippsland,23301,Gippsland South (Eastern Victoria),235,Monash
Frankston High School,FRANKSTON,212,69.2,99,31,9.6,45390,68484,28484,45390,Frankston High School,FRANKSTON,VIC,3199,Government,Secondary,0,School Head Campus,-38.16056162,145.1284347,0,Major Cities,20171500000,21401137115,214011371,Frankston,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23005,Frankston (South-Eastern Metropolitan),212,Dunkley
Geelong Baptist College,LOVELY BANKS,19,43.5,87,24,2.5,46370,57709,17709,46370,Geelong Baptist College,LOVELY BANKS,VIC,3213,Independent,Combined,0,School Single Entity,-38.068112,144.328265,0,Major Cities,20243020000,20302148604,203021486,Corio - Lovely Banks,20302,Geelong,203,Geelong,22750,Greater Geelong,24208,Lara (Western Victoria),210,Corio
Geelong High School,EAST GEELONG,109,43.6,99,27,5.1,45391,49570,9570,45391,Geelong High School,EAST GEELONG,VIC,3219,Government,Secondary,0,School Single Entity,-38.153026,144.373726,0,Major Cities,20245720000,20302103936,203021039,Geelong,20302,Geelong,203,Geelong,22750,Greater Geelong,23108,Geelong (Western Victoria),210,Corio
Gippsland Grammar,SALE,69,77.9,99,31,9.8,46196,56353,16353,46196,Gippsland Grammar,SALE,VIC,3850,Independent,Combined,0,School Head Campus,-38.093651,147.064627,1,Inner Regional,20584750000,20505110306,205051103,Sale,20505,Wellington,205,Latrobe - Gippsland,26810,Wellington,23301,Gippsland South (Eastern Victoria),216,Gippsland
Girton Grammar School,BENDIGO,16,80.4,100,31,9.4,46325,54225,14225,46325,Girton Grammar School,BENDIGO,VIC,3550,Independent,Combined,0,School Head Campus,-36.76260022,144.2727791,1,Inner Regional,20204031000,20201101814,202011018,Bendigo,20201,Bendigo,202,Bendigo,22620,Greater Bendigo,20804,Bendigo West (Northern Victoria),203,Bendigo
Gisborne Secondary College,GISBORNE,248,49.4,100,27,0.8,45393,56388,16388,45393,Gisborne Secondary College,GISBORNE,VIC,3437,Government,Secondary,0,School Single Entity,-37.49811364,144.5847741,1,Inner Regional,20355070000,21002123221,210021232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,24130,Macedon Ranges,24504,Macedon (Northern Victoria),232,McEwen
Glen Eira College,CAULFIELD EAST,63,78.7,98,31,6.5,45495,56059,16059,45495,Glen Eira College,CAULFIELD EAST,VIC,3145,Government,Secondary,0,School Single Entity,-37.8857,145.038006,0,Major Cities,20189740000,20802117703,208021177,Caulfield - North,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara
Gleneagles Secondary College,ENDEAVOUR HILLS,151,67.7,99,29,3.2,45599,55647,15647,45599,Gleneagles Secondary College,ENDEAVOUR HILLS,VIC,3802,Government,Secondary,0,School Single Entity,-37.97435311,145.2762807,0,Major Cities,20124770000,21202145312,212021453,Endeavour Hills - North,21202,Casey - North,212,Melbourne - South East,21610,Casey,25805,Narre Warren North (South-Eastern Metropolitan),204,Bruce
Glenroy Secondary College,GLENROY,45,51,100,19,0,45625,68781,28781,45625,Glenroy Secondary College,GLENROY,VIC,3046,Government,Secondary,0,School Single Entity,-37.705324,144.927565,0,Major Cities,20631913690,21003153518,210031535,Glenroy - East,21003,Moreland - North,210,Melbourne - North West,24700,Merri-bek,21303,Broadmeadows (Northern Metropolitan),239,Wills
Glenroy Private,GLENROY,-,100,100,23,0,50503,69796,29796,50503,Glenroy Private,GLENROY,VIC,3046,Independent,Combined,0,School Single Entity,-37.697077,144.928185,0,Major Cities,20472830000,21003153509,210031535,Glenroy - East,21003,Moreland - North,210,Melbourne - North West,24700,Merri-bek,21303,Broadmeadows (Northern Metropolitan),239,Wills
Good News Lutheran College,TARNEIT,23,98.7,99,31,7.4,46334,55363,15363,46334,Good News Lutheran College,TARNEIT,VIC,3029,Independent,Combined,0,School Single Entity,-37.855204,144.665994,0,Major Cities,20631946470,21305158520,213051585,Tarneit - South,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28207,Tarneit (Western Metropolitan),228,Lalor
Grace Christian College Wodonga,LENEVA,15,26.7,100,-,-,46302,57756,17756,46302,Grace Christian College Wodonga,LENEVA,VIC,3691,Independent,Combined,0,School Single Entity,-36.157173,146.887345,1,Inner Regional,20631902180,20403149119,204031491,Baranduda - Leneva,20403,Wodonga - Alpine,204,Hume,27170,Wodonga,20604,Benambra (Northern Victoria),223,Indi
Grovedale College,GROVEDALE,105,48.9,98,25,1.1,45331,55830,15830,45331,Grovedale College,GROVEDALE,VIC,3216,Government,Secondary,0,School Single Entity,-38.2110078,144.3271514,0,Major Cities,20255240000,20302148750,203021487,Grovedale - Mount Duneed,20302,Geelong,203,Geelong,22750,Greater Geelong,27708,South Barwon (Western Victoria),209,Corangamite
Haileybury Girls College,KEYSBOROUGH,29,97.7,100,36,29.9,52426,,797,46189,Haileybury Girls College,KEYSBOROUGH,VIC,3173,Independent,Combined,0,School Sub-Campus,-37.995299,145.144153,0,Major Cities,20631926190,21204156613,212041566,Keysborough - South,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25205,Mordialloc (South-Eastern Metropolitan),224,Isaacs
Hazel Glen College,DOREEN,286,58.2,99,26,2.7,50683,70187,30187,50683,Hazel Glen College,DOREEN,VIC,3754,Government,Combined,0,School Single Entity,-37.59822111,145.1233997,0,Major Cities,20631972120,20904152717,209041527,Doreen - North,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28804,Yan Yean (Northern Victoria),232,McEwen
Healesville High School,HEALESVILLE,47,61.8,88,27,1.6,45397,46282,6282,45397,Healesville High School,HEALESVILLE,VIC,3777,Government,Secondary,0,School Single Entity,-37.64356325,145.5319733,1,Inner Regional,20660180000,21105127618,211051276,Healesville - Yarra Glen,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22304,Eildon (Northern Victoria),206,Casey
Heathdale Christian College,WERRIBEE,125,96.2,100,30,5.6,46275,44028,4028,46275,Heathdale Christian College,WERRIBEE,VIC,3030,Independent,Combined,0,School Head Campus,-37.881318,144.681332,0,Major Cities,20625920000,21305146727,213051467,Werribee - East,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28607,Werribee (Western Metropolitan),228,Lalor
Heathmont College,HEATHMONT,84,49.1,98,25,0.7,45555,48441,8441,45555,Heathmont College,HEATHMONT,VIC,3135,Government,Secondary,0,School Single Entity,-37.83842619,145.2321036,0,Major Cities,20389100000,21103126731,211031267,Ringwood East,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin
Heritage College,OFFICER,14,80,96,27,0.9,46212,56582,16582,46212,Heritage College,NARRE WARREN SOUTH,VIC,3805,Independent,Combined,0,School Head Campus,-38.050215,145.316519,0,Major Cities,20110870000,21203145722,212031457,Narre Warren South - East,21203,Casey - South,212,Melbourne - South East,21610,Casey,25905,Narre Warren South (South-Eastern Metropolitan),204,Bruce
Hester Hornbrook Academy,SOUTH MELBOURNE,244,13.5,30,-,-,52517,86640,80108,52517,Hester Hornbrook Academy,MELBOURNE,VIC,3000,Independent,Secondary,1,School Head Campus,-37.82918,144.96312,0,Major Cities,20532081000,20605151219,206051512,South Melbourne,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,20106,Albert Park (Southern Metropolitan),229,Macnamara
Highvale Secondary College,GLEN WAVERLEY,38,86.2,98,29,7.3,45399,54999,14999,45399,Highvale Secondary College,GLEN WAVERLEY,VIC,3150,Government,Secondary,0,School Single Entity,-37.86624,145.176723,0,Major Cities,20431940000,21205132131,212051321,Glen Waverley - East,21205,Monash,212,Melbourne - South East,24970,Monash,23402,Glen Waverley (North-Eastern Metropolitan),207,Chisholm
Hillcrest Christian College,CLYDE NORTH,53,85.9,100,29,3.4,46276,57257,17257,46276,Hillcrest Christian College,CLYDE NORTH,VIC,3978,Independent,Combined,0,School Head Campus,-38.084681,145.363801,0,Major Cities,21332050000,21203155509,212031555,Clyde North - North,21203,Casey - South,212,Melbourne - South East,21610,Casey,21005,Berwick (South-Eastern Metropolitan),227,La Trobe
Holmes Grammar School,MELBOURNE,10,39.1,96,28,0,40736,63406,23406,40736,Holmes Grammar School,MELBOURNE,VIC,3000,Independent,Secondary,0,School Single Entity,-37.810302,144.972271,0,Major Cities,20394030000,20604150320,206041503,Melbourne CBD - East,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,24703,Melbourne (Northern Metropolitan),233,Melbourne
Holy Trinity Lutheran College,HORSHAM,21,64.3,100,30,8.8,46242,55316,15316,46242,Holy Trinity Lutheran College,HORSHAM,VIC,3400,Independent,Combined,0,School Single Entity,-36.708181,142.217749,2,Outer Regional,20631905130,21501138807,215011388,Horsham,21501,Grampians,215,North West,23190,Horsham,24408,Lowan (Western Victoria),230,Mallee
Hopetoun P-12 College,HOPETOUN,10,-,100,27,0,45400,69633,29633,45400,Hopetoun P-12 College,HOPETOUN,VIC,3396,Government,Combined,0,School Single Entity,-35.73486974,142.3660296,3,Remote,20662290000,21501139421,215011394,Yarriambiack,21501,Grampians,215,North West,27630,Yarriambiack,24904,Mildura (Northern Victoria),230,Mallee
Horsham College,HORSHAM,178,38.3,93,29,5.2,45556,50656,10656,45556,Horsham College,HORSHAM,VIC,3402,Government,Secondary,0,School Head Campus,-36.707706,142.187075,2,Outer Regional,20287610000,21501138815,215011388,Horsham,21501,Grampians,215,North West,23190,Horsham,24408,Lowan (Western Victoria),230,Mallee
Hume Anglican Grammar,MICKLEHAM,6,91.6,100,30,9.4,46385,68136,28136,46385,Hume Anglican Grammar,MICKLEHAM,VIC,3064,Independent,Combined,0,School Head Campus,-37.568405,144.931491,0,Major Cities,20300000000,21005144505,210051445,Mickleham - Yuroke,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23903,Kalkallo (Northern Metropolitan),205,Calwell
Huntingtower School,MOUNT WAVERLEY,34,98.9,100,37,31.7,46201,40815,815,46201,Huntingtower School,MOUNT WAVERLEY,VIC,3149,Independent,Combined,0,School Single Entity,-37.876741,145.136288,0,Major Cities,20442940000,21205132437,212051324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,24970,Monash,20206,Ashwood (Southern Metropolitan),207,Chisholm
Ignatius Learning Centre,RICHMOND,13,-,-,-,-,53015,87029,87028,53015,Ignatius Learning Centre,RICHMOND,VIC,3121,Catholic,Secondary,1,School Single Entity,-37.82215686,144.9981578,0,Major Cities,20643350000,20607151728,206071517,Richmond (South) - Cremorne,20607,Yarra,206,Melbourne - Inner,27350,Yarra,27103,Richmond (Northern Metropolitan),233,Melbourne
Indie School Wodonga,WODONGA,1442,2.1,80,I/D,I/D,43720,65136,25136,43720,Indie School Wodonga,WODONGA,VIC,3690,Independent,Secondary,1,School Head Campus,-36.118028,146.889403,1,Inner Regional,20619990000,20403149219,204031492,Wodonga,20403,Wodonga - Alpine,204,Hume,27170,Wodonga,20604,Benambra (Northern Victoria),223,Indi
Iona College Geelong,CHARLEMONT,75,-,-,33,6.1,52858,85222,85221,52858,Iona College Geelong,CHARLEMONT,VIC,3217,Catholic,Secondary,0,School Single Entity,-38.2205,144.3548,0,Major Cities,21345970000,20302148524,203021485,Charlemont,20302,Geelong,203,Geelong,22750,Greater Geelong,27708,South Barwon (Western Victoria),209,Corangamite
Irymple Secondary College,IRYMPLE,33,-,-,-,-,45332,54889,14889,45332,Irymple Secondary College,IRYMPLE,VIC,3498,Government,Secondary,0,School Single Entity,-34.23232674,142.1647031,2,Outer Regional,20414720000,21502139515,215021395,Irymple,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Ivanhoe Girls' Grammar School,IVANHOE,56,99.2,100,35,21.2,46185,40821,821,46185,Ivanhoe Girls' Grammar School,IVANHOE,VIC,3079,Independent,Combined,0,School Single Entity,-37.76652207,145.0474774,0,Major Cities,20021430000,20901120030,209011200,Ivanhoe,20901,Banyule,209,Melbourne - North East,20660,Banyule,23802,Ivanhoe (North-Eastern Metropolitan),225,Jagajaga
John Monash Science School,CLAYTON,12,98.7,100,36,22.5,40828,68200,28200,40828,John Monash Science School,CLAYTON,VIC,3168,Government,Secondary,0,School Single Entity,-37.91419502,145.1287826,0,Major Cities,20426000000,21205156702,212051567,Clayton (North) - Notting Hill,21205,Monash,212,Melbourne - South East,24970,Monash,26306,Oakleigh (Southern Metropolitan),207,Chisholm
John Paul College,FRANKSTON,116,66.9,96,28,4.6,45994,40846,846,45994,John Paul College,FRANKSTON,VIC,3199,Catholic,Secondary,0,School Single Entity,-38.134567,145.139395,0,Major Cities,20176440000,21401137214,214011372,Frankston North,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23005,Frankston (South-Eastern Metropolitan),212,Dunkley
Kambrya College,BERWICK,291,65.6,99,31,5.6,45480,57171,17171,45480,Kambrya College,BERWICK,VIC,3806,Government,Secondary,0,School Single Entity,-38.05368819,145.34741,0,Major Cities,20115120000,21202155313,212021553,Berwick - South East,21202,Casey - North,212,Melbourne - South East,21610,Casey,21005,Berwick (South-Eastern Metropolitan),227,La Trobe
Kerang Christian College,KERANG,-,60,100,29,15.9,46289,44208,4208,46289,Kerang Christian College,KERANG,VIC,3579,Independent,Combined,0,School Single Entity,-35.730422,143.913416,2,Outer Regional,20180850000,21503140208,215031402,Kerang,21503,Murray River - Swan Hill,215,North West,22250,Gannawarra,25604,Murray Plains (Northern Victoria),230,Mallee
Kerang Technical High School,KERANG,45,41.2,100,26,2.6,45403,51401,11401,45403,Kerang Technical High School,KERANG,VIC,3579,Government,Secondary,0,School Single Entity,-35.725651,143.913802,2,Outer Regional,20181140000,21503140207,215031402,Kerang,21503,Murray River - Swan Hill,215,North West,22250,Gannawarra,25604,Murray Plains (Northern Victoria),230,Mallee
Kew High School,KEW EAST,81,94.9,100,30,7.1,45405,46241,6241,45405,Kew High School,KEW EAST,VIC,3102,Government,Secondary,0,School Single Entity,-37.794722,145.061556,0,Major Cities,20072740000,20701115411,207011154,Kew East,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong
Kilbreda College,MENTONE,88,82.4,100,32,10.3,45712,40822,822,45712,Kilbreda College,MENTONE,VIC,3194,Catholic,Secondary,0,School Single Entity,-37.984153,145.065712,0,Major Cities,20631928040,20803119023,208031190,Mentone,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),27506,Sandringham (Southern Metropolitan),224,Isaacs
Killester College,SPRINGVALE,67,96,100,30,5.3,45906,40826,826,45906,Killester College,SPRINGVALE,VIC,3171,Catholic,Secondary,0,School Single Entity,-37.959071,145.152017,0,Major Cities,20229760000,21204131701,212041317,Springvale,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25505,Mulgrave (South-Eastern Metropolitan),222,Hotham
Kilvington Grammar School,ORMOND,9,98.8,100,33,18.3,46188,40828,828,46188,Kilvington Grammar School,ORMOND,VIC,3204,Independent,Combined,0,School Single Entity,-37.899519,145.041216,0,Major Cities,20182710000,20802118216,208021182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),217,Goldstein
