School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Camberwell Grammar School,CANTERBURY,75,98.8,100,34,21.3,46199,40757,757,46199,Camberwell Grammar School,CANTERBURY,VIC,3126,Independent,Combined,0,School Single Entity,-37.81589557,145.0672623,0,Major Cities,20059900000,20701114731,207011147,Balwyn,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong
Camberwell High School,CANTERBURY,37,81.6,92,30,8.5,45365,48378,8378,45365,Camberwell High School,CANTERBURY,VIC,3126,Government,Secondary,0,School Single Entity,-37.830441,145.073035,0,Major Cities,20066090000,20701114901,207011149,Camberwell,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong
Camperdown College,CAMPERDOWN,28,56.3,100,28,0,45319,49779,9779,45319,Camperdown College,CAMPERDOWN,VIC,3260,Government,Combined,0,School Head Campus,-38.239731,143.145435,1,Inner Regional,20136940000,21703147106,217031471,Camperdown,21703,Colac - Corangamite,217,Warrnambool and South West,21830,Corangamite,26808,Polwarth (Western Victoria),238,Wannon
Cann River P-12 College,CANN RIVER,6,100,100,24,0,44670,46298,6298,44670,Cann River P-12 College,CANN RIVER,VIC,3890,Government,Combined,0,School Single Entity,-37.5697,149.153022,3,Remote,20161290000,20502108510,205021085,Orbost,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland
Carey Baptist Grammar School,KEW,32,91.8,100,33,11.8,46186,40758,758,46186,Carey Baptist Grammar School,KEW,VIC,3101,Independent,Combined,0,School Head Campus,-37.8158,145.048,0,Major Cities,20074210000,20701152128,207011521,Kew - South,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,24006,Kew (Southern Metropolitan),226,Kooyong
Carwatha College P-12,NOBLE PARK NORTH,54,64.9,91,27,0.5,45225,49232,9232,45225,Carwatha College P-12,NOBLE PARK,VIC,3174,Government,Combined,0,School Single Entity,-37.94245361,145.1891273,0,Major Cities,20231520000,21204131617,212041316,Noble Park North,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25505,Mulgrave (South-Eastern Metropolitan),222,Hotham
Casey Grammar School,CRANBOURNE,31,86.5,99,30,6.2,46326,55837,15837,46326,Casey Grammar School,CRANBOURNE EAST,VIC,3977,Independent,Combined,0,School Single Entity,-38.11029539,145.2928989,0,Major Cities,20631957220,21203155803,212031558,Cranbourne East - South,21203,Casey - South,212,Melbourne - South East,21610,Casey,22005,Cranbourne (South-Eastern Metropolitan),221,Holt
Casterton Secondary College,CASTERTON,14,55.6,100,28,0,45367,49984,9984,45367,Casterton Secondary College,CASTERTON,VIC,3311,Government,Secondary,0,School Single Entity,-37.588796,141.387493,2,Outer Regional,20200170000,21701142010,217011420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,22410,Glenelg,24408,Lowan (Western Victoria),238,Wannon
Castlemaine Secondary College,CASTLEMAINE,114,45.7,93,26,2.1,45561,46182,6182,45561,Castlemaine Secondary College,CASTLEMAINE,VIC,3450,Government,Secondary,0,School Head Campus,-37.077088,144.214549,1,Inner Regional,20504810000,20202102723,202021027,Castlemaine,20202,Heathcote - Castlemaine - Kyneton,202,Bendigo,25430,Mount Alexander,20804,Bendigo West (Northern Victoria),203,Bendigo
Catherine McAuley College,BENDIGO,269,72,98,28,5.3,40412,44768,4768,40412,Catherine McAuley College,BENDIGO,VIC,3550,Catholic,Secondary,0,School Head Campus,-36.753444,144.273362,1,Inner Regional,20204210000,20201101821,202011018,Bendigo,20201,Bendigo,202,Bendigo,22620,Greater Bendigo,20804,Bendigo West (Northern Victoria),203,Bendigo
